# 时间戳(ms),抖动(ms)
45600,5.02
45700,5.02
45800,5.02
45900,5.02
46000,5.02
46100,5.02
46200,5.02
46300,5.02
46400,5.02
46500,5.02
46600,5.02
46700,5.02
46800,5.02
46900,5.02
47000,5.02
47100,5.02
47200,5.02
47300,5.02
47400,5.02
47500,5.02
47600,5.02
47700,5.02
47800,5.02
47900,5.02
48000,5.02
48100,5.02
48200,5.02
48300,5.02
48400,5.02
48500,5.02
48600,5.02
48700,5.02
48800,5.02
48900,5.02
49000,5.02
49100,5.02
49200,5.02
49300,5.02
49400,5.02
49500,5.02
49600,5.02
49700,5.02
49800,5.02
49900,5.02
50000,5.02
50100,5.02
50200,5.02
50300,5.02
50400,5.02
50500,5.02
50600,5.02
50700,5.02
50800,5.02
50900,5.02
51000,5.02
51100,5.02
51200,5.02
51300,5.02
51400,5.02
51500,5.02
51600,5.02
51700,5.02
51800,5.02
51900,5.02
52000,5.02
52100,5.02
52200,5.02
52300,5.02
52400,5.02
52500,5.02
52600,5.02
52700,5.02
52800,5.02
52900,5.02
53000,5.02
53100,5.02
53200,5.02
53300,5.02
53400,5.02
53500,5.02
53600,5.02
53700,5.02
53800,5.02
53900,5.02
54000,5.02
54100,5.02
54200,5.02
54300,5.02
54400,5.02
54500,5.02
54600,5.02
54700,5.02
54800,5.02
54900,5.02
55000,5.02
55100,5.02
55200,5.02
55300,5.02
55400,5.02
55500,5.02
55600,5.02
55700,5.02
55800,5.02
55900,5.02
56000,5.02
56100,5.02
56200,5.02
56300,5.02
56400,5.02
56500,5.02
56600,5.02
56700,5.02
56800,5.02
56900,5.02
57000,5.02
57100,5.02
57200,5.02
57300,5.02
57400,5.02
57500,5.02
57600,5.02
57700,5.02
57800,5.02
57900,5.02
58000,5.02
58100,5.02
58200,5.02
58300,5.02
58400,5.02
58500,5.02
58600,5.02
58700,5.02
58800,5.02
58900,5.02
59000,5.02
59100,5.02
59200,5.02
59300,5.02
59400,5.02
59500,5.02
59600,5.02
59700,5.02
59800,5.02
59900,5.02
60000,5.02
60100,5.02
60200,5.02
60300,5.02
60400,5.02
60500,5.02
60600,5.02
60700,5.02
60800,5.02
60900,5.02
61000,5.02
61100,5.02
61200,5.02
61300,5.02
61400,5.02
61500,5.02
61600,5.02
61700,5.02
61800,5.02
61900,5.02
62000,5.02
62100,5.02
62200,5.02
62300,5.02
62400,5.02
62500,5.02
62600,5.02
62700,5.02
62800,5.02
62900,5.02
63000,5.02
63100,5.02
63200,5.02
63300,5.02
63400,5.02
63500,5.02
63600,5.02
63700,5.02
63800,5.02
63900,5.02
64000,5.02
64100,5.02
64200,5.02
64300,5.02
64400,5.02
64500,5.02
64600,5.02
64700,5.02
64800,5.02
64900,5.02
65000,5.02
65100,5.02
65200,5.02
65300,5.02
65400,5.02
65500,5.02
65600,5.02
65700,5.02
65800,5.02
65900,5.02
66000,5.02
66100,5.02
66200,5.02
66300,5.02
66400,5.02
66500,5.02
66600,5.02
66700,5.02
66800,5.02
66900,5.02
67000,5.02
67100,5.02
67200,5.02
67300,5.02
67400,5.02
67500,5.02
67600,5.02
67700,5.02
67800,5.02
67900,5.02
68000,5.02
68100,5.02
68200,5.02
68300,5.02
68400,5.02
68500,5.02
68600,5.02
68700,5.02
68800,5.02
68900,5.02
69000,5.02
69100,5.02
69200,5.02
69300,5.02
69400,5.02
69500,5.02
69600,5.02
69700,5.02
69800,5.02
69900,5.02
70000,5.02
70100,5.02
70200,5.02
70300,5.02
70400,5.02
70500,5.02
70600,5.02
70700,5.02
70800,5.02
70900,5.02
71000,5.02
71100,5.02
71200,5.02
71300,5.02
71400,5.02
71500,5.02
71600,5.02
71700,5.02
71800,5.02
71900,5.02
72000,5.02
72100,5.02
72200,5.02
72300,5.02
72400,5.02
72500,5.02
72600,5.02
72700,5.02
72800,5.02
72900,5.02
73000,5.02
73100,5.02
73200,5.02
73300,5.02
73400,5.02
73500,5.02
73600,5.02
73700,5.02
73800,5.02
73900,5.02
74000,5.02
74100,5.02
74200,5.02
74300,5.02
74400,5.02
74500,5.02
74600,5.02
74700,5.02
74800,5.02
74900,5.02
75000,5.02
75100,5.02
75200,5.02
75300,5.02
75400,5.02
75500,5.02
75600,5.02
75700,5.02
75800,5.02
75900,5.02
76000,5.02
76100,5.02
76200,5.02
76300,5.02
76400,5.02
76500,5.02
76600,5.02
76700,5.02
76800,5.02
76900,5.02
77000,5.02
77100,5.02
77200,5.02
77300,5.02
77400,5.02
77500,5.02
77600,5.02
77700,5.02
77800,5.02
77900,5.02
78000,5.02
78100,5.02
78200,5.02
78300,5.02
78400,5.02
78500,5.02
78600,5.02
78700,5.02
78800,5.02
78900,5.02
79000,5.02
79100,5.02
79200,5.02
79300,5.02
79400,5.02
79500,5.02
79600,5.02
79700,5.02
79800,5.02
79900,5.02
80000,5.02
80100,5.02
80200,5.02
80300,5.02
80400,5.02
80500,5.02
80600,5.02
80700,5.02
80800,5.02
80900,5.02
81000,5.02
81100,5.02
81200,5.02
81300,5.02
81400,5.02
81500,5.02
81600,5.02
81700,5.02
81800,5.02
81900,5.02
82000,5.02
82100,5.02
82200,5.02
82300,5.02
82400,5.02
82500,5.02
82600,5.02
82700,5.02
82800,5.02
82900,5.02
83000,5.02
83100,5.02
83200,5.02
83300,5.02
83400,5.02
83500,5.02
83600,5.02
83700,5.02
83800,5.02
83900,5.02
84000,5.02
84100,5.02
84200,5.02
84300,5.02
84400,5.02
84500,5.02
84600,5.02
84700,5.02
84800,5.02
84900,5.02
85000,5.02
85100,5.02
85200,5.02
85300,5.02
85400,5.02
85500,5.02
85600,5.02
85700,5.02
85800,5.02
85900,5.02
86000,5.02
86100,5.02
86200,5.02
86300,5.02
86400,5.02
86500,5.02
86600,5.02
86700,5.02
86800,5.02
86900,5.02
87000,5.02
87100,5.02
87200,5.02
87300,5.02
87400,5.02
87500,5.02
87600,5.02
87700,5.02
87800,5.02
87900,5.02
88000,5.02
88100,5.02
88200,5.02
88300,5.02
88400,5.02
88500,5.02
88600,5.02
88700,5.02
88800,5.02
88900,5.02
89000,5.02
89100,5.02
89200,5.02
89300,5.02
89400,5.02
89500,5.02
89600,5.02
89700,5.02
89800,5.02
89900,5.02
90000,5.02
90100,5.02
90200,5.02
90300,5.02
90400,5.02
90500,5.02
90600,5.02
90700,5.02
90800,5.02
90900,5.02
91000,5.02
91100,5.02
91200,5.02
91300,5.02
91400,5.02
91500,5.02
91600,5.02
91700,5.02
91800,5.02
91900,5.02
92000,5.02
92100,5.02
92200,5.02
92300,5.02
92400,5.02
92500,5.02
92600,5.02
92700,5.02
92800,5.02
92900,5.02
93000,5.02
93100,5.02
93200,5.02
93300,5.02
93400,5.02
93500,5.02
93600,5.02
93700,5.02
93800,5.02
93900,5.02
94000,5.02
94100,5.02
94200,5.02
94300,5.02
94400,5.02
94500,5.02
94600,5.02
94700,5.02
94800,5.02
94900,5.02
95000,5.02
95100,5.02
95200,5.02
95300,5.02
95400,5.02
95500,5.02
95600,5.02
95700,5.02
95800,5.02
95900,5.02
96000,5.02
96100,5.02
96200,5.02
96300,5.02
96400,5.02
96500,5.02
96600,5.02
96700,5.02
96800,5.02
96900,5.02
97000,5.02
97100,5.02
97200,5.02
97300,5.02
97400,5.02
97500,5.02
97600,5.02
97700,5.02
97800,5.02
97900,5.02
98000,5.02
98100,5.02
98200,5.02
98300,5.02
98400,5.02
98500,5.02
98600,5.02
98700,5.02
98800,5.02
98900,5.02
99000,5.02
99100,5.02
99200,20.25
99300,20.25
99400,20.25
99500,20.25
99600,20.25
99700,20.25
99800,20.25
99900,20.25
100000,20.25
100100,20.25
100200,20.25
100300,20.25
100400,20.25
100500,20.25
100600,20.25
100700,20.25
100800,20.25
100900,20.25
101000,20.25
101100,20.25
101200,20.25
101300,20.25
101400,20.25
101500,20.25
101600,20.25
101700,20.25
101800,20.25
101900,20.25
102000,20.25
102100,20.25
102200,20.25
102300,20.25
102400,20.25
102500,20.25
102600,20.25
102700,20.25
102800,20.25
102900,20.25
103000,20.25
103100,20.25
103200,20.25
103300,20.25
103400,20.25
103500,20.25
103600,20.25
103700,20.25
103800,20.25
103900,20.25
104000,20.25
104100,20.25
104200,20.25
104300,20.25
104400,20.25
104500,20.25
104600,20.25
104700,20.25
104800,20.25
104900,20.25
105000,20.25
105100,20.25
105200,20.25
105300,20.25
105400,20.25
105500,20.25
105600,20.25
105700,20.25
105800,20.25
105900,20.25
106000,20.25
106100,20.25
106200,20.25
106300,20.25
106400,20.25
106500,20.25
106600,20.25
106700,20.25
106800,20.25
106900,20.25
107000,20.25
107100,20.25
107200,20.25
107300,20.25
107400,20.25
107500,20.25
107600,20.25
107700,20.25
107800,20.25
107900,20.25
108000,20.25
108100,20.25
108200,20.25
108300,20.25
108400,20.25
108500,20.25
108600,20.25
108700,20.25
108800,20.25
108900,20.25
109000,20.25
109100,20.25
109200,20.25
109300,20.25
109400,20.25
109500,20.25
109600,20.25
109700,20.25
109800,20.25
109900,20.25
110000,20.25
110100,20.25
110200,20.25
110300,20.25
110400,20.25
110500,20.25
110600,20.25
110700,20.25
110800,20.25
110900,20.25
111000,20.25
111100,20.25
111200,20.25
111300,20.25
111400,20.25
111500,20.25
111600,20.25
111700,20.25
111800,20.25
111900,20.25
112000,20.25
112100,20.25
112200,20.25
112300,20.25
112400,20.25
112500,20.25
112600,20.25
112700,20.25
112800,20.25
112900,20.25
113000,20.25
113100,20.25
113200,20.25
113300,20.25
113400,20.25
113500,20.25
113600,20.25
113700,20.25
113800,20.25
113900,20.25
114000,20.25
114100,20.25
114200,20.25
114300,20.25
114400,20.25
114500,20.25
114600,20.25
114700,20.25
114800,20.25
114900,20.25
115000,20.25
115100,20.25
115200,20.25
115300,20.25
115400,20.25
115500,20.25
115600,20.25
115700,20.25
115800,20.25
115900,20.25
116000,20.25
116100,20.25
116200,20.25
116300,20.25
116400,20.25
116500,20.25
116600,20.25
116700,20.25
116800,20.25
116900,20.25
117000,20.25
117100,20.25
117200,20.25
117300,20.25
117400,20.25
117500,20.25
117600,20.25
117700,20.25
117800,20.25
117900,20.25
118000,20.25
118100,20.25
118200,20.25
118300,20.25
118400,20.25
118500,20.25
118600,20.25
118700,20.25
118800,20.25
118900,20.25
119000,20.25
119100,20.25
119200,20.25
119300,20.25
119400,20.25
119500,20.25
119600,20.25
119700,20.25
119800,20.25
119900,20.25
120000,20.25
120100,20.25
120200,20.25
120300,20.25
120400,20.25
120500,20.25
120600,20.25
120700,20.25
120800,20.25
120900,20.25
121000,20.25
121100,20.25
121200,20.25
121300,20.25
121400,20.25
121500,20.25
121600,20.25
121700,20.25
121800,20.25
121900,20.25
122000,20.25
122100,20.25
122200,20.25
122300,20.25
122400,20.25
122500,20.25
122600,20.25
122700,20.25
122800,20.25
122900,20.25
123000,20.25
123100,20.25
123200,20.25
123300,20.25
123400,20.25
123500,20.25
123600,20.25
123700,20.25
123800,20.25
123900,20.25
124000,20.25
124100,20.25
124200,20.25
124300,20.25
