# 时间戳(ms),RTT(ms)
45600,117.61
45700,117.61
45800,117.61
45900,117.61
46000,117.61
46100,117.61
46200,117.61
46300,117.61
46400,117.61
46500,117.61
46600,117.61
46700,117.61
46800,117.61
46900,117.61
47000,117.61
47100,117.61
47200,117.61
47300,117.61
47400,117.61
47500,117.61
47600,117.61
47700,117.61
47800,117.61
47900,117.61
48000,117.61
48100,117.61
48200,117.61
48300,117.61
48400,117.61
48500,117.61
48600,117.61
48700,117.61
48800,117.61
48900,117.61
49000,117.61
49100,117.61
49200,117.61
49300,117.61
49400,117.61
49500,117.61
49600,117.61
49700,117.61
49800,117.61
49900,117.61
50000,117.61
50100,117.61
50200,117.61
50300,117.61
50400,117.61
50500,117.61
50600,117.61
50700,117.61
50800,117.61
50900,117.61
51000,117.61
51100,117.61
51200,117.61
51300,117.61
51400,117.61
51500,117.61
51600,117.61
51700,117.61
51800,117.61
51900,117.61
52000,117.61
52100,117.61
52200,117.61
52300,117.61
52400,117.61
52500,117.61
52600,117.61
52700,117.61
52800,117.61
52900,117.61
53000,117.61
53100,117.61
53200,117.61
53300,117.61
53400,117.61
53500,117.61
53600,117.61
53700,117.61
53800,117.61
53900,117.61
54000,117.61
54100,117.61
54200,117.61
54300,117.61
54400,117.61
54500,117.61
54600,117.61
54700,117.61
54800,117.61
54900,117.61
55000,117.61
55100,117.61
55200,117.61
55300,117.61
55400,117.61
55500,117.61
55600,117.61
55700,117.61
55800,117.61
55900,117.61
56000,117.61
56100,117.61
56200,117.61
56300,117.61
56400,117.61
56500,117.61
56600,117.61
56700,117.61
56800,117.61
56900,117.61
57000,117.61
57100,117.61
57200,117.61
57300,117.61
57400,117.61
57500,117.61
57600,117.61
57700,117.61
57800,117.61
57900,117.61
58000,117.61
58100,117.61
58200,117.61
58300,117.61
58400,117.61
58500,117.61
58600,117.61
58700,117.61
58800,117.61
58900,117.61
59000,117.61
59100,117.61
59200,117.61
59300,117.61
59400,117.61
59500,117.61
59600,117.61
59700,117.61
59800,117.61
59900,117.61
60000,117.61
60100,117.61
60200,117.61
60300,117.61
60400,117.61
60500,117.61
60600,117.61
60700,117.61
60800,117.61
60900,117.61
61000,117.61
61100,117.61
61200,117.61
61300,117.61
61400,117.61
61500,117.61
61600,117.61
61700,117.61
61800,117.61
61900,117.61
62000,117.61
62100,117.61
62200,117.61
62300,117.61
62400,117.61
62500,117.61
62600,117.61
62700,117.61
62800,117.61
62900,117.61
63000,117.61
63100,117.61
63200,117.61
63300,117.61
63400,117.61
63500,117.61
63600,117.61
63700,117.61
63800,117.61
63900,117.61
64000,117.61
64100,117.61
64200,117.61
64300,117.61
64400,117.61
64500,117.61
64600,117.61
64700,117.61
64800,117.61
64900,117.61
